Material,Standard,Nominal,OD,OD (mm),Tolerance,Notes
Black Pipe,Schedule 40,1/8,0.405,10.287,,
Black Pipe,Schedule 40,1/4,0.54,13.716,,
Black Pipe,Schedule 40,3/8,0.675,17.145,,
Black Pipe,Schedule 40,1/2,0.84,21.336,,
Black Pipe,Schedule 40,3/4,1.05,26.67,,
Black Pipe,Schedule 40,1,1.315,33.401,,
Black Pipe,Schedule 40,1 1/4,1.66,42.164,,
Black Pipe,Schedule 40,1 1/2,1.9,48.26,,
Black Pipe,Schedule 40,2,2.375,60.325,,
Black Pipe,Schedule 40,2 1/2,2.875,73.025,,
Black Pipe,Schedule 40,3,3.5,88.9,,
Black Pipe,Schedule 40,3 1/2,4,101.6,,
Black Pipe,Schedule 40,4,4.5,114.3,,
Black Pipe,Schedule 40,4 1/2,5,127,,
Black Pipe,Schedule 40,5,5.563,141.3002,,
Black Pipe,Schedule 40,6,6.625,168.275,,
Black Pipe,Schedule 40,7,7.625,193.675,,
Black Pipe,Schedule 40,8,8.625,219.075,,
Black Pipe,Schedule 40,9,9.625,244.475,,
Black Pipe,Schedule 40,10,10.75,273.05,,
Black Pipe,Schedule 40,11,11.75,298.45,,
Black Pipe,Schedule 40,12,12.75,323.85,,
Black Pipe,Schedule 40,14,14,355.6,,
Black Pipe,Schedule 40,16,16,406.4,,
Black Pipe,Schedule 40,18,18,457.2,,
Black Pipe,Schedule 40,20,20,508,,
Black Pipe,Schedule 40,24,24,609.6,,
Black Pipe,Schedule 40,26,26,660.4,,
Black Pipe,Schedule 40,28,28,711.2,,
Black Pipe,Schedule 40,30,30,762,,
Black Pipe,Schedule 40,32,32,812.8,,
Black Pipe,Schedule 40,34,34,863.6,,
Black Pipe,Schedule 40,36,36,914.4,,
Black Pipe,Schedule 40,42,42,1066.8,,
Black Pipe,Schedule 40,48,48,1219.2,,